"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №702"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №729"	"УИК №730"	"УИК №731"	
1974	1888	1638	1730	1172	2218	1816	1648	2186	1965	2891	1962	2463	1725	1635	1175	3012	1922	2994	2710	2024	1938	1596	2852	871	1697	2077	2269	2108	2104	1898	2331	2160	2598	1729	2685	2138	2331	2845	1245	1337	1877	1528	1011	2063	1963	1078	2136	1415	791	2049	2035	2339	925	1489	2783	2824	1901	1573	1606	1712	2115	1891	2183	957	1522	549	485	2696	169	17	72	38	70	72	93	91	92	36	69	42	42	17	17	16	16	17	17	60	60	74	74	43	134	23	20	51	
1900	1900	1600	1600	1000	2100	1800	1600	2100	2000	2700	1900	2300	1700	1500	2000	2700	1800	2900	2700	1900	1700	1300	2700	800	1600	2000	2200	2000	2000	1800	2300	2100	2400	1600	2500	2100	2200	2800	1100	1100	1700	1300	900	1900	1800	900	2000	1200	700	1800	1900	2200	800	1300	2700	2600	1700	1200	1500	1600	1900	1800	2000	900	1200	500	500	2600	200	17	72	38	72	74	93	93	94	36	70	44	43	18	17	17	17	18	18	60	63	74	74	44	134	23	21	51	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1169	1104	971	1048	623	1329	962	990	1394	1206	1629	1108	1341	1003	936	1052	1653	1100	1754	1157	1357	1236	862	1726	602	1034	1200	1294	1179	1158	1008	1248	1311	1476	1081	1601	1230	1313	1842	747	833	1212	944	555	1156	1091	539	1076	706	459	1087	1083	1184	512	814	1620	1573	1070	983	924	1048	1157	1011	1267	499	874	396	333	1426	152	17	72	38	69	72	93	90	92	36	67	42	41	17	17	16	16	17	17	53	54	49	71	43	134	23	20	51	
30	36	15	20	15	36	19	31	15	21	32	13	39	25	25	22	26	13	14	41	16	19	13	17	2	12	29	16	38	17	34	28	13	19	14	17	27	28	8	8	7	8	4	16	29	17	97	20	8	4	19	15	30	5	19	17	37	25	0	23	35	23	24	35	2	8	6	88	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
701	760	614	532	362	735	819	579	691	773	1039	779	920	672	539	926	1021	687	1132	1502	526	445	425	957	196	554	771	890	783	825	758	1024	776	905	505	882	843	859	950	345	260	480	352	329	715	692	264	904	486	237	694	802	986	283	467	1063	990	605	217	553	517	720	765	698	399	318	98	79	1137	48	0	0	0	3	2	0	3	2	0	3	2	2	1	0	1	1	1	1	7	9	25	3	1	0	0	1	0	
30	36	15	20	15	36	19	31	15	21	32	13	39	25	25	22	26	13	14	41	16	19	13	17	2	12	29	16	38	17	34	28	13	19	14	17	27	28	8	8	7	8	4	16	29	17	97	20	8	4	19	15	30	5	19	17	37	25	0	23	35	23	24	35	2	8	6	88	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1169	1104	971	1047	623	1329	961	989	1394	1206	1629	1108	1339	1003	936	1052	1648	1100	1751	1157	1357	1236	862	1726	602	1034	1199	1294	1179	1158	1008	1245	1311	1476	1081	1601	1230	1313	1842	747	833	1212	944	555	1155	1090	539	1076	706	459	1087	1083	1183	511	813	1601	1573	1070	983	924	1048	1156	1011	1266	499	874	396	333	1426	152	17	72	38	69	72	93	85	92	36	67	42	41	17	17	16	16	17	17	53	54	49	71	43	134	23	20	51	
9	12	13	11	8	7	11	7	10	8	12	16	13	9	11	0	15	8	19	43	8	8	8	18	2	7	14	12	13	12	11	17	16	14	11	10	9	12	16	6	5	12	9	5	8	16	6	14	6	9	6	10	17	1	10	13	16	10	12	12	10	18	10	12	4	10	5	9	13	3	0	0	0	3	0	4	6	5	1	1	4	2	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	
1190	1128	973	1056	630	1358	969	1013	1399	1219	1649	1105	1365	1019	950	1074	1659	1105	1746	1155	1365	1247	867	1725	602	1039	1214	1298	1204	1163	1031	1256	1308	1481	1084	1608	1248	1329	1834	749	835	1208	939	566	1176	1091	630	1082	708	454	1100	1088	1196	515	822	1605	1594	1085	971	935	1073	1161	1025	1289	497	872	397	412	1450	149	17	72	38	66	72	89	79	87	35	66	38	39	17	16	16	16	17	17	51	54	48	71	43	134	23	19	51	
