"УИК №1936"	"УИК №1937"	"УИК №1938"	"УИК №1939"	"УИК №1940"	"УИК №1941"	"УИК №3513"	"УИК №3514"	"УИК №3515"	"УИК №3516"	"УИК №3517"	"УИК №3518"	"УИК №3519"	"УИК №3520"	"УИК №3521"	"УИК №3522"	"УИК №3523"	"УИК №3524"	"УИК №3525"	"УИК №3526"	"УИК №3527"	"УИК №3528"	"УИК №3529"	"УИК №3530"	"УИК №3531"	"УИК №3532"	"УИК №3533"	"УИК №3534"	"УИК №3535"	"УИК №3536"	"УИК №3537"	"УИК №3538"	"УИК №3539"	"УИК №3540"	"УИК №3541"	"УИК №3542"	"УИК №3543"	"УИК №3544"	"УИК №3545"	"УИК №3546"	"УИК №3547"	"УИК №3548"	"УИК №3549"	"УИК №3550"	"УИК №3551"	"УИК №3552"	"УИК №3553"	"УИК №3554"	"УИК №3555"	"УИК №3556"	"УИК №3557"	"УИК №3558"	"УИК №3559"	"УИК №3560"	"УИК №3561"	"УИК №3905"	"УИК №3906"	"УИК №3907"	"УИК №4163"	"УИК №4164"	"УИК №4165"	"УИК №4166"	"УИК №4167"	"УИК №4168"	"УИК №4169"	"УИК №4170"	"УИК №4171"	"УИК №4172"	"УИК №4173"	"УИК №4174"	"УИК №4175"	"УИК №4176"	"УИК №4177"	"УИК №4178"	"УИК №4179"	"УИК №4180"	"УИК №4181"	"УИК №4182"	"УИК №4183"	"УИК №4184"	"УИК №4185"	"УИК №4186"	"УИК №4187"	"УИК №4188"	"УИК №4189"	"УИК №4190"	"УИК №4191"	"УИК №4192"	"УИК №4212"	"УИК №4213"	
624	757	921	563	706	484	1993	1766	1268	1018	1651	1714	1264	1157	1230	1579	1696	1836	1437	1574	1170	1407	1984	1989	1553	2118	2133	1591	1201	1748	1734	1668	1485	1184	1400	1290	1323	1569	1588	1305	1283	1952	1173	1445	1485	1693	1301	1638	1853	1275	1078	1289	2523	1311	890	468	955	887	1524	1152	1308	1502	1230	1144	1022	1580	1682	1156	1396	1630	1128	1661	1568	1315	1117	1221	1341	1571	1171	1150	1178	1173	1640	1232	1445	1356	1197	1388	400	217	
550	700	800	500	700	450	1900	1700	1300	1000	1600	1700	1200	1100	1200	1500	1600	1800	1400	1500	1200	1400	1900	1900	1500	2100	2100	1500	1100	1700	1700	1600	1500	1200	1300	1200	1300	1500	1600	1300	1200	1900	1200	1400	1400	1700	1200	1600	1800	1300	1000	1300	2500	1200	900	450	950	900	1500	1100	1300	1500	1200	1100	1000	1500	1600	1100	1300	1500	1100	1600	1500	1300	1000	1200	1300	1600	1200	1100	1200	1100	1600	1200	1500	1300	1200	1400	400	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
281	431	627	370	501	259	1317	1124	873	708	1104	1069	836	943	722	940	967	1112	832	949	733	857	1249	1214	1003	1325	1353	899	725	1002	1020	992	777	642	731	718	768	887	882	731	746	1172	780	836	813	1038	898	888	1128	843	729	839	1599	673	878	310	559	518	917	809	854	926	795	892	578	887	1044	708	902	1007	811	1052	873	855	626	727	804	873	730	717	672	672	925	853	736	911	723	917	0	134	
62	26	34	41	55	30	26	102	13	8	67	17	23	16	11	33	30	28	27	22	17	13	31	12	15	51	84	80	32	19	118	21	28	28	57	23	34	83	95	19	14	64	42	35	55	16	24	16	29	117	128	15	6	41	0	24	21	8	46	33	7	20	31	26	20	10	125	15	13	8	26	31	22	71	116	30	30	11	42	14	20	34	42	25	23	128	3	51	400	66	
207	243	139	89	144	161	557	474	414	284	429	614	340	141	467	527	603	660	541	529	450	530	620	674	482	724	663	521	343	679	561	587	695	530	512	459	498	530	623	550	440	664	378	529	532	646	278	696	643	340	143	446	895	486	22	116	370	374	537	258	439	554	374	182	402	603	431	377	385	485	263	517	605	374	257	443	466	716	428	369	508	394	632	322	741	261	474	432	0	0	
62	26	34	41	55	30	26	102	13	8	67	17	23	16	11	33	30	28	27	22	17	13	31	12	15	51	84	80	32	19	118	21	28	28	57	23	34	83	95	19	14	64	42	35	55	16	24	16	29	117	128	15	6	41	0	24	21	8	46	33	7	20	31	26	20	10	125	15	13	8	26	31	22	71	116	30	30	11	42	14	20	34	42	25	23	128	3	51	400	66	
281	431	627	370	501	259	1317	1124	873	708	1104	1069	835	943	722	940	967	1112	832	949	732	857	1249	1214	1002	1325	1353	899	725	1002	1020	992	777	642	731	718	767	886	881	731	746	1172	780	835	813	1037	898	888	1126	843	729	839	1599	673	878	310	559	518	917	809	854	926	795	892	578	887	1044	708	902	1007	811	1051	873	855	625	727	803	873	730	716	672	672	925	853	736	911	723	906	0	134	
3	2	9	0	1	5	12	5	9	7	12	16	11	5	7	9	18	10	13	2	19	7	15	18	11	10	21	12	7	14	16	11	20	12	10	5	10	10	5	10	8	20	7	7	6	7	10	9	7	10	10	3	12	11	12	3	9	8	14	5	10	6	14	6	8	12	24	10	10	9	11	13	13	6	7	12	4	12	8	12	7	13	25	5	8	14	4	8	6	1	
340	455	652	411	555	284	1331	1221	877	709	1159	1070	847	954	726	964	979	1130	846	969	730	863	1265	1208	1006	1366	1416	967	750	1007	1122	1002	785	658	778	736	791	959	971	740	752	1216	815	863	862	1046	912	895	1148	950	847	851	1593	703	866	331	571	518	949	837	851	940	812	912	590	885	1145	713	905	1006	826	1069	882	920	734	745	829	872	764	718	685	693	942	873	751	1025	722	949	394	199	
